model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLL_FFT_P0TT_1,49962,15.00245,1843.542,0,False,40
LLL_FFT_P0TT_1,149960,15.00284,1773.797,0,False,40
LLL_FFT_P0TT_1,249978,15.01578,2215.7,0,False,40
LLL_FFT_P0TT_1,349957,15.01254,2339.282,0,False,40
LLL_FFT_P0TT_1,449991,15.00122,2188.628,0,False,40
LLL_FFT_P0TT_1,549986,15.00046,2795.892,0,False,40
LLL_FFT_P0TT_1,649985,15.00498,3535.563,0,False,40
LLL_FFT_P0TT_1,749983,15.007,4325.27,0,False,40
LLL_FFT_P0TT_1,849995,15.01009,4353.021,0,False,40
LLL_FFT_P0TT_1,949979,15.00394,4204.705,0,False,40
LLL_FFT_P0TT_1,1000079,15.00513,5150.889,0,False,40
LLL_FFT_P0TT_1,49962,30.0071,4028.35,0,False,40
LLL_FFT_P0TT_1,149960,30.00861,4392.124,1,False,40
LLL_FFT_P0TT_1,249978,30.00037,4456.884,0,False,40
LLL_FFT_P0TT_1,349957,30.00187,4186.525,0,False,40
LLL_FFT_P0TT_1,449991,30.0074,5092.318,1,False,40
LLL_FFT_P0TT_1,549986,30.00449,5682.188,0,False,40
LLL_FFT_P0TT_1,649985,30.00279,7655.77,1,False,40
LLL_FFT_P0TT_1,749983,30.00911,8918.747,0,False,40
LLL_FFT_P0TT_1,849995,30.00306,9418.78,0,False,40
LLL_FFT_P0TT_1,949979,30.00118,9599.438,0,False,40
LLL_FFT_P0TT_1,1000079,30.00054,9574.988,0,False,40
LLL_FFT_P0TT_1,49962,30.0098,3433.039,0,False,40
LLL_FFT_P0TT_1,149960,30.0087,3296.607,0,False,40
LLL_FFT_P0TT_1,249978,30.00175,3470.534,0,False,40
LLL_FFT_P0TT_1,349957,30.01094,3487.305,0,False,40
LLL_FFT_P0TT_1,449991,30.01715,5056.907,0,False,40
LLL_FFT_P0TT_1,549986,30.00246,6939.103,1,False,40
LLL_FFT_P0TT_1,649985,30.00422,7590.963,1,False,40
LLL_FFT_P0TT_1,749983,30.00363,8707.649,1,False,40
LLL_FFT_P0TT_1,849995,30.00667,5557.255,0,False,40
LLL_FFT_P0TT_1,949979,30.00076,5062.765,0,False,40
LLL_FFT_P0TT_1,1000079,30.0051,5013.521,0,False,40
